consumer_token,qsr_txn_count_30d,qsr_spend_30d,qsr_recency_days,competitor_qsr_share_90d,grocery_spend_30d,fuel_spend_30d,weekend_dining_frequency,merchant_novelty_rate,campaign_exposed,purchase_qsr_next_30d
consumer_0001,4,49.98,36,0.0585,148.12,65.49,1,0.1502,0,0
consumer_0002,4,59.36,8,0.4016,105.68,86.68,1,0.4296,0,0
consumer_0003,5,78.01,38,0.5955,56.53,97.77,2,0.3762,0,1
consumer_0004,1,33.54,41,0.1479,76.01,115.51,4,0.0513,1,1
consumer_0005,7,138.18,5,0.8046,192.81,81.52,3,0.1625,0,1
consumer_0006,1,36.82,22,0.5604,53.18,27.83,0,0.1833,1,0
consumer_0007,4,43.46,38,0.4039,114.12,52.27,1,0.3771,1,0
consumer_0008,2,39.79,22,0.5491,151.25,48.98,1,0.2492,0,0
consumer_0009,2,50.64,38,0.5833,120.64,45.16,1,0.1736,0,0
consumer_0010,6,115.28,43,0.0676,94.19,65.58,3,0.1709,0,1
consumer_0011,3,62.04,22,0.0721,103.14,38.11,2,0.3133,0,0
consumer_0012,1,30.85,3,0.1449,125.11,38.15,1,0.1742,0,0
consumer_0013,6,79.2,16,0.5192,52.75,139.96,1,0.5201,1,0
consumer_0014,2,23.2,10,0.2499,89.12,42.54,2,0.4535,0,0
consumer_0015,5,81.52,22,0.106,276.64,90.49,1,0.3124,0,0
consumer_0016,0,14.34,27,0.2205,116.19,93.98,2,0.3786,1,0
consumer_0017,2,44.75,21,0.3736,96.22,53.31,0,0.2991,0,1
consumer_0018,2,47.0,9,0.4662,71.26,39.3,2,0.3987,1,0
consumer_0019,3,57.01,14,0.2053,53.15,21.9,2,0.2109,0,0
consumer_0020,4,47.32,31,0.4155,105.2,9.89,2,0.6404,0,0
consumer_0021,0,15.56,2,0.4163,109.56,68.85,1,0.5635,1,0
consumer_0022,2,42.09,10,0.6851,85.5,59.54,2,0.0179,1,0
consumer_0023,2,23.44,41,0.3632,338.91,75.9,1,0.125,1,0
consumer_0024,3,60.72,5,0.8993,56.3,30.65,0,0.3043,0,0
consumer_0025,2,33.51,19,0.2893,47.75,149.09,2,0.3833,1,0
consumer_0026,4,43.4,10,0.2412,71.9,63.27,2,0.1264,0,1
consumer_0027,5,60.63,5,0.4922,87.19,41.34,1,0.4166,0,0
consumer_0028,3,44.09,20,0.62,51.31,5.31,3,0.1689,0,1
consumer_0029,5,74.99,24,0.139,103.7,33.46,0,0.2833,0,1
consumer_0030,3,50.96,8,0.1907,110.41,78.35,3,0.2784,0,1
consumer_0031,1,19.95,4,0.3692,133.72,113.58,3,0.1403,0,1
consumer_0032,2,36.36,7,0.4984,64.68,46.33,2,0.308,1,1
consumer_0033,2,37.51,30,0.1306,183.8,125.71,1,0.1659,1,0
consumer_0034,4,86.41,39,0.3545,128.58,20.48,3,0.1081,1,1
consumer_0035,3,45.14,9,0.6587,55.54,60.81,1,0.0366,0,1
consumer_0036,5,54.91,15,0.3829,51.16,62.02,1,0.3871,1,1
consumer_0037,3,13.66,16,0.3716,75.03,69.23,2,0.3018,0,0
consumer_0038,4,62.7,17,0.7851,110.57,51.07,2,0.2832,0,0
consumer_0039,5,59.16,11,0.4549,120.08,58.5,1,0.1214,1,1
consumer_0040,2,36.65,3,0.5076,128.44,20.05,2,0.1913,0,0
consumer_0041,6,116.81,24,0.6304,266.79,106.55,5,0.3092,0,1
consumer_0042,3,37.9,17,0.458,24.3,84.63,2,0.1758,0,1
consumer_0043,1,35.56,16,0.2976,84.07,56.89,1,0.4973,0,0
consumer_0044,9,182.69,12,0.4789,254.42,85.95,3,0.3737,1,1
consumer_0045,2,25.23,42,0.3942,137.25,108.77,1,0.2541,0,0
consumer_0046,2,39.57,28,0.2953,45.74,68.54,6,0.301,0,1
consumer_0047,2,27.2,19,0.8098,100.62,159.41,0,0.4169,0,1
consumer_0048,3,43.44,10,0.5003,81.02,72.48,0,0.543,0,0
consumer_0049,4,71.95,37,0.5105,79.24,22.88,1,0.5115,1,0
consumer_0050,1,21.2,40,0.4867,63.89,54.88,0,0.1063,1,0
consumer_0051,3,76.09,2,0.1149,95.8,88.2,1,0.1496,1,0
consumer_0052,5,82.23,42,0.4642,164.89,108.84,4,0.1026,1,1
consumer_0053,3,59.1,32,0.2652,67.63,51.85,1,0.3757,0,1
consumer_0054,5,90.77,5,0.1958,128.99,21.34,2,0.4626,1,1
consumer_0055,2,54.51,34,0.3232,142.01,38.66,3,0.1707,0,0
consumer_0056,3,51.68,5,0.3044,182.95,13.8,0,0.1998,0,1
consumer_0057,4,59.95,3,0.7086,50.57,77.6,1,0.1664,1,1
consumer_0058,3,46.2,6,0.2349,91.29,33.13,1,0.1099,0,1
consumer_0059,5,122.81,21,0.2021,59.18,26.02,1,0.638,1,1
consumer_0060,4,81.64,28,0.2397,95.91,82.76,1,0.2384,1,0
consumer_0061,3,35.58,19,0.5374,95.53,124.08,0,0.3539,1,1
consumer_0062,1,29.78,6,0.0985,42.29,25.93,1,0.6029,0,1
consumer_0063,2,22.41,9,0.4712,99.31,52.1,4,0.5599,0,0
consumer_0064,2,32.02,39,0.3852,274.23,39.9,0,0.0836,1,0
consumer_0065,2,43.55,44,0.4853,120.35,112.13,3,0.231,0,1
consumer_0066,0,32.45,34,0.3384,36.34,43.42,2,0.3165,0,0
consumer_0067,1,9.56,5,0.4661,48.45,19.62,0,0.518,1,0
consumer_0068,1,37.26,37,0.5052,88.51,44.97,1,0.2748,1,1
consumer_0069,4,71.54,32,0.2118,49.22,97.2,5,0.1017,1,1
consumer_0070,1,27.89,24,0.1107,177.49,38.14,0,0.2226,0,0
consumer_0071,2,26.56,7,0.4962,33.21,28.22,2,0.0186,0,1
consumer_0072,2,45.45,45,0.4434,120.84,41.98,0,0.3259,0,0
consumer_0073,2,29.57,20,0.3866,28.14,20.18,1,0.3726,0,0
consumer_0074,2,42.89,2,0.064,87.66,39.86,0,0.2473,0,0
consumer_0075,6,89.38,10,0.4348,44.43,29.98,4,0.4511,0,1
consumer_0076,3,63.58,19,0.1768,133.56,177.97,3,0.1176,0,0
consumer_0077,4,51.23,3,0.5101,161.03,6.94,0,0.339,0,0
consumer_0078,2,41.38,15,0.6966,110.38,22.79,0,0.1749,0,0
consumer_0079,2,18.23,22,0.5082,165.2,28.2,5,0.1724,0,1
consumer_0080,3,52.39,43,0.2907,12.37,20.3,0,0.1631,0,0
consumer_0081,6,98.92,4,0.2829,98.56,61.23,2,0.3397,1,1
consumer_0082,5,79.03,26,0.1172,119.85,25.54,2,0.2837,0,1
consumer_0083,4,67.38,42,0.2245,128.82,12.38,1,0.2667,1,0
consumer_0084,3,31.28,37,0.329,21.94,48.81,0,0.3825,0,0
consumer_0085,7,122.42,42,0.6053,115.8,36.48,0,0.2245,0,1
consumer_0086,2,21.45,8,0.2232,130.43,26.55,2,0.2255,0,1
consumer_0087,6,51.82,37,0.5042,97.89,110.31,1,0.5229,0,1
consumer_0088,3,36.14,45,0.4658,36.61,62.67,0,0.114,0,1
consumer_0089,2,50.12,15,0.1166,63.58,57.88,3,0.1416,1,0
consumer_0090,5,105.28,23,0.356,178.0,63.63,1,0.507,1,0
consumer_0091,2,30.51,24,0.4411,166.89,61.4,0,0.4089,0,0
consumer_0092,3,65.6,23,0.3065,118.58,37.92,6,0.1954,0,0
consumer_0093,7,116.67,14,0.6684,135.17,25.77,0,0.1642,1,1
consumer_0094,4,75.86,44,0.4814,155.97,49.59,0,0.1731,0,1
consumer_0095,2,34.66,44,0.3816,117.8,37.39,0,0.4286,0,0
consumer_0096,4,52.56,18,0.3745,175.18,6.82,0,0.2197,1,0
consumer_0097,3,42.76,37,0.5778,171.95,18.76,2,0.1301,0,0
consumer_0098,4,65.38,18,0.1407,321.63,33.85,1,0.3998,1,1
consumer_0099,3,48.72,36,0.2789,65.31,83.95,2,0.1097,0,0
consumer_0100,1,5.77,27,0.3662,66.08,49.75,1,0.2049,0,1
consumer_0101,1,21.53,22,0.3634,7.52,22.06,2,0.4548,0,0
consumer_0102,4,42.79,6,0.1889,112.76,17.33,1,0.3055,1,1
consumer_0103,0,2.04,30,0.4205,246.16,96.04,2,0.6345,0,0
consumer_0104,1,20.91,15,0.0166,182.9,39.27,2,0.2345,1,0
consumer_0105,3,55.77,10,0.3872,144.73,1.23,0,0.2197,1,1
consumer_0106,5,82.88,9,0.0431,189.88,41.18,1,0.1898,1,0
consumer_0107,1,15.0,45,0.4121,121.1,72.19,0,0.3751,0,1
consumer_0108,4,90.86,5,0.2492,75.58,16.85,0,0.2625,0,0
consumer_0109,2,48.74,36,0.593,279.91,47.05,2,0.3463,0,0
consumer_0110,3,48.68,39,0.2383,116.01,50.32,2,0.1285,0,0
consumer_0111,1,33.67,2,0.5225,169.85,17.79,2,0.3936,1,1
consumer_0112,3,50.1,27,0.4935,12.28,101.8,1,0.3298,0,0
consumer_0113,5,97.65,26,0.2111,14.84,50.95,4,0.2793,1,1
consumer_0114,3,58.56,17,0.188,100.41,33.71,1,0.1731,0,1
consumer_0115,4,70.21,31,0.283,49.24,39.47,0,0.4897,0,1
consumer_0116,2,51.73,19,0.2856,105.93,14.81,1,0.3757,0,0
consumer_0117,1,9.66,20,0.2183,66.02,14.23,1,0.2938,1,0
consumer_0118,4,97.73,20,0.4371,347.46,31.29,0,0.0829,0,0
consumer_0119,3,35.91,37,0.1753,162.31,32.85,0,0.2881,0,0
consumer_0120,0,0.05,29,0.2081,200.11,37.52,1,0.2861,1,0
consumer_0121,3,65.16,18,0.2687,17.74,107.7,1,0.1681,0,0
consumer_0122,6,84.03,42,0.542,143.62,69.57,1,0.1865,0,0
consumer_0123,4,71.85,37,0.224,81.22,8.15,2,0.4194,0,0
consumer_0124,7,115.12,42,0.472,202.24,94.62,4,0.2437,0,1
consumer_0125,1,12.64,33,0.7297,131.87,31.09,3,0.1204,0,0
consumer_0126,2,30.86,18,0.485,88.61,74.16,0,0.2367,0,1
consumer_0127,2,43.94,35,0.3129,39.5,33.09,1,0.0966,0,0
consumer_0128,1,26.76,15,0.3533,99.26,48.64,1,0.2084,0,1
consumer_0129,3,75.76,13,0.449,175.74,15.89,0,0.7254,0,0
consumer_0130,2,36.56,21,0.6209,208.76,56.57,2,0.2639,0,0
consumer_0131,7,141.65,44,0.3802,72.48,79.91,0,0.3324,0,0
consumer_0132,0,0.0,26,0.5056,316.41,9.95,1,0.2645,0,0
consumer_0133,2,39.6,18,0.3721,168.1,80.74,3,0.1042,0,0
consumer_0134,6,79.42,21,0.2739,49.94,25.68,3,0.2601,0,1
consumer_0135,2,30.22,14,0.2834,42.26,130.35,0,0.2362,0,0
consumer_0136,3,44.0,30,0.3814,84.44,75.08,2,0.4942,1,0
consumer_0137,2,34.16,16,0.3949,72.36,66.5,2,0.1851,1,0
consumer_0138,2,45.59,25,0.5395,121.66,39.64,0,0.4418,0,0
consumer_0139,2,53.7,17,0.1034,93.05,198.63,0,0.1511,0,0
consumer_0140,6,101.46,15,0.4026,76.3,31.25,1,0.3193,0,1
consumer_0141,4,60.77,44,0.5254,29.41,19.16,4,0.1007,1,1
consumer_0142,7,90.12,16,0.682,134.2,26.43,0,0.3434,0,0
consumer_0143,2,28.09,4,0.1062,27.47,89.63,1,0.1497,0,0
consumer_0144,3,52.9,18,0.2805,168.41,47.97,0,0.0582,0,0
consumer_0145,1,19.14,24,0.4353,19.56,42.97,1,0.1377,0,0
consumer_0146,4,99.59,5,0.3433,26.21,31.62,3,0.322,0,1
consumer_0147,5,83.49,14,0.7918,49.78,41.33,3,0.2603,1,1
consumer_0148,6,118.5,8,0.5285,68.28,29.91,2,0.0663,1,1
consumer_0149,6,74.9,23,0.3455,59.4,70.81,0,0.3138,0,0
consumer_0150,3,51.08,33,0.518,68.09,36.88,1,0.2473,0,1
consumer_0151,1,24.43,44,0.0656,107.19,26.84,1,0.1429,0,1
consumer_0152,6,110.63,18,0.5474,50.59,84.72,2,0.1827,0,1
consumer_0153,4,85.73,39,0.5088,107.79,19.7,2,0.2699,0,0
consumer_0154,1,1.96,10,0.1417,12.44,48.46,0,0.2402,0,0
consumer_0155,3,35.9,36,0.3376,49.28,6.77,3,0.1678,1,1
consumer_0156,3,56.87,26,0.6897,25.18,13.13,2,0.1861,1,1
consumer_0157,3,54.25,35,0.3583,167.31,33.88,0,0.1185,1,0
consumer_0158,2,41.77,34,0.2329,55.28,29.48,0,0.1678,1,0
consumer_0159,5,90.27,24,0.4944,129.37,29.44,1,0.0745,0,1
consumer_0160,4,26.99,12,0.3482,21.62,75.55,1,0.0697,0,1
consumer_0161,2,49.49,24,0.2158,206.81,78.53,3,0.1464,0,1
consumer_0162,5,36.08,38,0.6736,96.39,55.33,2,0.332,0,0
consumer_0163,4,47.16,44,0.1229,265.16,18.78,1,0.2345,0,0
consumer_0164,3,65.19,42,0.5847,89.74,41.09,2,0.3358,1,0
consumer_0165,1,26.66,9,0.3368,29.69,142.17,2,0.2541,0,0
consumer_0166,1,13.4,27,0.189,45.07,186.43,1,0.3073,0,1
consumer_0167,4,64.43,5,0.2469,77.85,85.26,2,0.1464,0,1
consumer_0168,4,83.55,31,0.414,46.3,19.44,3,0.1409,1,1
consumer_0169,6,86.3,45,0.4912,157.93,41.37,3,0.2253,0,0
consumer_0170,2,65.19,3,0.4857,94.62,52.8,3,0.3073,0,1
consumer_0171,5,55.96,30,0.3075,46.71,47.32,1,0.1294,0,1
consumer_0172,6,88.17,43,0.2615,144.19,91.21,2,0.1836,1,1
consumer_0173,2,34.83,39,0.3704,71.35,73.34,2,0.1621,1,1
consumer_0174,3,49.05,18,0.0995,140.41,18.52,0,0.6486,0,0
consumer_0175,2,28.44,5,0.4288,64.08,27.37,2,0.276,1,0
consumer_0176,1,7.1,42,0.1478,124.15,85.03,5,0.2592,0,0
consumer_0177,3,41.33,42,0.2001,69.73,110.01,1,0.1617,1,0
consumer_0178,2,20.2,27,0.6511,157.97,53.26,0,0.0094,0,0
consumer_0179,3,73.77,45,0.2512,22.02,118.86,1,0.3941,0,0
consumer_0180,1,38.29,1,0.3067,37.18,49.07,1,0.0917,1,0
consumer_0181,2,38.43,28,0.1842,82.35,21.5,1,0.192,0,0
consumer_0182,3,48.18,2,0.2084,56.98,68.92,2,0.0879,0,1
consumer_0183,4,51.11,43,0.4212,68.34,238.64,3,0.4157,1,0
consumer_0184,3,31.46,31,0.3019,132.61,14.92,1,0.3585,1,1
consumer_0185,2,37.17,42,0.1999,67.4,115.98,1,0.0668,0,1
consumer_0186,2,30.72,26,0.4448,110.11,66.31,6,0.1222,0,1
consumer_0187,2,30.15,4,0.5338,49.03,26.05,0,0.2447,1,1
consumer_0188,1,3.37,2,0.1413,18.18,6.96,1,0.0211,0,1
consumer_0189,2,36.01,16,0.2708,139.91,4.16,1,0.0296,1,1
consumer_0190,3,49.28,34,0.6966,233.54,29.39,1,0.167,0,0
consumer_0191,5,62.91,7,0.3123,103.28,59.1,0,0.3929,1,1
consumer_0192,6,107.16,39,0.1025,85.21,80.96,0,0.1504,0,1
consumer_0193,4,58.36,11,0.195,96.74,93.59,2,0.3974,0,0
consumer_0194,1,26.45,23,0.4542,190.69,55.51,2,0.2649,0,0
consumer_0195,1,15.19,10,0.061,104.03,49.61,3,0.1766,0,0
consumer_0196,4,81.16,21,0.6482,143.89,34.76,0,0.3742,1,0
consumer_0197,3,54.76,21,0.552,140.19,60.1,4,0.1234,1,0
consumer_0198,4,59.82,1,0.4972,165.7,26.38,3,0.336,0,0
consumer_0199,0,4.84,26,0.2098,84.06,15.68,2,0.4595,0,0
consumer_0200,5,89.12,36,0.336,63.51,47.43,1,0.1632,0,1
